,title,url,published,publishedAt,category
0,"Kansas vs. North Carolina predictions, expert picks: NCAA championship 2022 odds, spread for March Madness - CBS Sports | sports",https://news.google.com/__i/rss/rd/articles/CBMimQFodHRwczovL3d3dy5jYnNzcG9ydHMuY29tL2NvbGxlZ2UtYmFza2V0YmFsbC9uZXdzL2thbnNhcy12cy1ub3J0aC1jYXJvbGluYS1wcmVkaWN0aW9ucy1leHBlcnQtcGlja3MtbmNhYS1jaGFtcGlvbnNoaXAtMjAyMi1vZGRzLXNwcmVhZC1mb3ItbWFyY2gtbWFkbmVzcy_SAQA?oc=5,"Mon, 04 Apr 2022 18:53:00 GMT",1649098380,sports
1,Eagles agree to blockbuster draft trade with Saints - PhiladelphiaEagles.com | sports,https://news.google.com/__i/rss/rd/articles/CBMiVWh0dHBzOi8vd3d3LnBoaWxhZGVscGhpYWVhZ2xlcy5jb20vbmV3cy9lYWdsZXMtZHJhZnQtdHJhZGUtc2FpbnRzLWJsb2NrYnVzdGVyLXNwYWRhcm_SAQA?oc=5,"Mon, 04 Apr 2022 20:12:13 GMT",1649103133,sports
2,Duke's loss to UNC is going to be hard to let go of for Coach K - Seth Greenberg | Get Up - ESPN | sports,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9bXlYeU1iUE1rZzTSAQA?oc=5,"Mon, 04 Apr 2022 14:02:29 GMT",1649080949,sports
3,MLB Preseason Power Rankings: Everyone’s Chasing the Dodgers - Sports Illustrated | sports,https://news.google.com/__i/rss/rd/articles/CBMiTWh0dHBzOi8vd3d3LnNpLmNvbS9tbGIvMjAyMi8wNC8wNC9tbGItcHJlc2Vhc29uLXBvd2VyLXJhbmtpbmdzLWRvZGdlcnMtYnJhdmVz0gFSaHR0cHM6Ly93d3cuc2kuY29tLy5hbXAvbWxiLzIwMjIvMDQvMDQvbWxiLXByZXNlYXNvbi1wb3dlci1yYW5raW5ncy1kb2RnZXJzLWJyYXZlcw?oc=5,"Mon, 04 Apr 2022 16:42:45 GMT",1649090565,sports
4,"FMIA: 2022 NFL Draft Top 10 Buzz, Including A Trade And Two QB Picks - Peter King, NBC Sports - NBC Sports | sports",https://news.google.com/__i/rss/rd/articles/CBMiWGh0dHBzOi8vcHJvZm9vdGJhbGx0YWxrLm5iY3Nwb3J0cy5jb20vMjAyMi8wNC8wNC9uZmwtZHJhZnQtdG9wLTEwLXRyYWRlLWZtaWEtcGV0ZXIta2luZy_SAQA?oc=5,"Mon, 04 Apr 2022 21:23:10 GMT",1649107390,sports
5,Nike addresses Tiger Woods wearing FootJoy shoes at Augusta - New York Post | sports,https://news.google.com/__i/rss/rd/articles/CBMilQFodHRwczovL255cG9zdC5jb20vMjAyMi8wNC8wNC9uaWtlLWFkZHJlc3Nlcy10aWdlci13b29kcy13ZWFyaW5nLWZvb3Rqb3ktc2hvZXMtYXQtYXVndXN0YW5pa2UtYWRkcmVzc2VzLXRpZ2VyLXdvb2RzLXdlYXJpbmctZm9vdGpveS1zaG9lcy1hdC1hdWd1c3RhL9IBAA?oc=5,"Mon, 04 Apr 2022 16:51:00 GMT",1649091060,sports
6,"New York Giants, QB Daniel Jones say neck injury no longer a concern - ESPN | sports",https://news.google.com/__i/rss/rd/articles/CBMibmh0dHBzOi8vd3d3LmVzcG4uY29tL25mbC9zdG9yeS9fL2lkLzMzNjcwNDc3L25ldy15b3JrLWdpYW50cy1xYi1kYW5pZWwtam9uZXMtc2F5LW5lY2staW5qdXJ5LW5vLWxvbmdlci1jb25jZXJu0gF7aHR0cHM6Ly93d3cuZXNwbi5jb20vbmZsL3N0b3J5L18vaWQvMzM2NzA0NzcvbmV3LXlvcmstZ2lhbnRzLXFiLWRhbmllbC1qb25lcy1zYXktbmVjay1pbmp1cnktbm8tbG9uZ2VyLWNvbmNlcm4_cGxhdGZvcm09YW1w?oc=5,"Mon, 04 Apr 2022 19:09:29 GMT",1649099369,sports
7,"""What The Hell Happened?"" - JoeBucsFan.com | sports",https://news.google.com/__i/rss/rd/articles/CBMiOmh0dHBzOi8vd3d3LmpvZWJ1Y3NmYW4uY29tLzIwMjIvMDQvd2hhdC10aGUtaGVsbC1oYXBwZW5lZC_SAQA?oc=5,"Mon, 04 Apr 2022 14:44:38 GMT",1649083478,sports
8,Lakers' Anthony Davis wonders 'what could have been' as loss to Nuggets further damages L.A.'s playoff hopes - CBS Sports | sports,https://news.google.com/__i/rss/rd/articles/CBMiigFodHRwczovL3d3dy5jYnNzcG9ydHMuY29tL25iYS9uZXdzL2xha2Vycy1hbnRob255LWRhdmlzLXdvbmRlcnMtd2hhdC1jb3VsZC1oYXZlLWJlZW4tYXMtbG9zcy10by1udWdnZXRzLWZ1cnRoZXItZGFtYWdlcy1sYXMtcGxheW9mZi1ob3Blcy_SAQA?oc=5,"Sun, 03 Apr 2022 23:33:00 GMT",1649028780,sports
9,Ben Simmons ruled OUT through play-in tournament | NBA Today - ESPN | sports,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9dS1FTXRZU0Rra03SAQA?oc=5,"Mon, 04 Apr 2022 19:29:47 GMT",1649100587,sports
10,"The colorful world of Joel Embiid: Trolling, bluffing and sometimes downright annihilating - The Athletic | sports",https://news.google.com/__i/rss/rd/articles/CBMihAFodHRwczovL3RoZWF0aGxldGljLmNvbS8zMjA3NDIzLzIwMjIvMDQvMDQvdHJvbGxpbmctYmx1ZmZpbmctYW5kLXNvbWV0aW1lcy1kb3ducmlnaHQtYW5uaWhpbGF0aW5nLXRoZS1jb2xvcmZ1bC13b3JsZC1vZi1qb2VsLWVtYmlpZC_SAQA?oc=5,"Mon, 04 Apr 2022 11:03:45 GMT",1649070225,sports
11,"NFL, Washington have no new comment after report regarding ticket-revenue irregularity - NBC Sports | sports",https://news.google.com/__i/rss/rd/articles/CBMihwFodHRwczovL3Byb2Zvb3RiYWxsdGFsay5uYmNzcG9ydHMuY29tLzIwMjIvMDQvMDQvbmZsLXdhc2hpbmd0b24taGF2ZS1uby1uZXctY29tbWVudC1hZnRlci1yZXBvcnQtcmVnYXJkaW5nLXRpY2tldC1yZXZlbnVlLWlycmVndWxhcml0eS_SAYsBaHR0cHM6Ly9wcm9mb290YmFsbHRhbGsubmJjc3BvcnRzLmNvbS8yMDIyLzA0LzA0L25mbC13YXNoaW5ndG9uLWhhdmUtbm8tbmV3LWNvbW1lbnQtYWZ0ZXItcmVwb3J0LXJlZ2FyZGluZy10aWNrZXQtcmV2ZW51ZS1pcnJlZ3VsYXJpdHkvYW1wLw?oc=5,"Mon, 04 Apr 2022 15:52:00 GMT",1649087520,sports
12,John Hunter Nemechek Embarrassingly Called Out by Larry McReynolds for His Hypocrisy After Wild Richmond Xfinity Series Finish - Sportscasting | sports,https://news.google.com/__i/rss/rd/articles/CBMiZ2h0dHBzOi8vd3d3LnNwb3J0c2Nhc3RpbmcuY29tL2pvaG4taHVudGVyLW5lbWVjaGVrLWNhbGxlZC1vdXQtbGFycnktbWNyZXlub2xkcy1yaWNobW9uZC14ZmluaXR5LXNlcmllcy_SAQA?oc=5,"Mon, 04 Apr 2022 19:04:02 GMT",1649099042,sports
13,‘It’s on’: Mariners star prospect Julio Rodriguez makes opening day roster - The Seattle Times | sports,https://news.google.com/__i/rss/rd/articles/CBMidGh0dHBzOi8vd3d3LnNlYXR0bGV0aW1lcy5jb20vc3BvcnRzL21hcmluZXJzL2l0cy1vbi1tYXJpbmVycy1zdGFyLXByb3NwZWN0LWp1bGlvLXJvZHJpZ3Vlei1tYWtlcy1vcGVuaW5nLWRheS1yb3N0ZXIv0gEA?oc=5,"Mon, 04 Apr 2022 16:00:32 GMT",1649088032,sports
14,Here's how Colin Kaepernick reportedly almost became an NFL team's assistant coach in 2022 - CBS Sports | sports,https://news.google.com/__i/rss/rd/articles/CBMifGh0dHBzOi8vd3d3LmNic3Nwb3J0cy5jb20vbmZsL25ld3MvaGVyZXMtaG93LWNvbGluLWthZXBlcm5pY2stcmVwb3J0ZWRseS1hbG1vc3QtYmVjYW1lLWFuLW5mbC10ZWFtcy1hc3Npc3RhbnQtY29hY2gtaW4tMjAyMi_SAQA?oc=5,"Mon, 04 Apr 2022 15:54:59 GMT",1649087699,sports
15,Stephen A. Smith & Magic Johnson react to Kareem Abdul-Jabbar's criticism of LeBron | First Take - ESPN | sports,https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9NmhCUk4xaWg1WUnSAQA?oc=5,"Mon, 04 Apr 2022 14:39:23 GMT",1649083163,sports
16,"Frost discusses possible Spring Game format, Trey Palmer calling his shot, a DB's quest for two picks - 247Sports | sports",https://news.google.com/__i/rss/rd/articles/CBMigAFodHRwczovLzI0N3Nwb3J0cy5jb20vY29sbGVnZS9uZWJyYXNrYS9Mb25nRm9ybUFydGljbGUvTmVicmFza2EtSHVza2Vycy1oZWFkLWNvYWNoLVNjb3R0LUZyb3N0LXNwcmluZy1mb290YmFsbC11cGRhdGUtMTg1NzEyOTQ3L9IBhAFodHRwczovLzI0N3Nwb3J0cy5jb20vY29sbGVnZS9uZWJyYXNrYS9Mb25nRm9ybUFydGljbGUvTmVicmFza2EtSHVza2Vycy1oZWFkLWNvYWNoLVNjb3R0LUZyb3N0LXNwcmluZy1mb290YmFsbC11cGRhdGUtMTg1NzEyOTQ3L0FtcC8?oc=5,"Mon, 04 Apr 2022 17:03:10 GMT",1649091790,sports
